Overall_rank,Year,Country,Region,Score,GDP,Social_Support,Health_life_expectancy,Freedom_to_choices,Generosity,Perceptions_of_corruption
1,2015,Switzerland,Western Europe,7.587,1.397,1.35,0.941,0.666,0.297,0.42
2,2015,Iceland,Western Europe,7.561,1.302,1.402,0.948,0.629,0.436,0.141
3,2015,Denmark,Western Europe,7.527,1.325,1.361,0.875,0.649,0.341,0.484
4,2015,Norway,Western Europe,7.522,1.459,1.331,0.885,0.67,0.347,0.365
6,2015,Finland,Western Europe,7.406,1.29,1.318,0.889,0.642,0.234,0.414
7,2015,Netherlands,Western Europe,7.378,1.329,1.28,0.893,0.616,0.476,0.318
8,2015,Sweden,Western Europe,7.364,1.332,1.289,0.911,0.66,0.363,0.438
13,2015,Austria,Western Europe,7.2,1.337,1.297,0.89,0.624,0.331,0.187
17,2015,Luxembourg,Western Europe,6.946,1.564,1.22,0.919,0.616,0.28,0.378
18,2015,Ireland,Western Europe,6.94,1.336,1.369,0.895,0.618,0.459,0.287
19,2015,Belgium,Western Europe,6.937,1.308,1.286,0.897,0.585,0.223,0.225
21,2015,United Kingdom,Western Europe,6.867,1.266,1.285,0.909,0.596,0.519,0.321
26,2015,Germany,Western Europe,6.75,1.328,1.299,0.892,0.615,0.282,0.218
29,2015,France,Western Europe,6.575,1.278,1.26,0.946,0.55,0.123,0.206
36,2015,Spain,Western Europe,6.329,1.23,1.314,0.956,0.46,0.182,0.064
37,2015,Malta,Western Europe,6.302,1.207,1.302,0.887,0.604,0.518,0.136
50,2015,Italy,Western Europe,5.948,1.251,1.198,0.954,0.262,0.228,0.029
66,2015,North Cyprus,Western Europe,5.695,1.208,1.07,0.924,0.49,0.262,0.143
67,2015,Cyprus,Western Europe,5.689,1.208,0.893,0.924,0.407,0.306,0.061
88,2015,Portugal,Western Europe,5.102,1.16,1.139,0.875,0.515,0.137,0.011
102,2015,Greece,Western Europe,4.857,1.154,0.929,0.882,0.077,0,0.014
1,2016,Denmark,Western Europe,7.526,1.442,1.164,0.795,0.579,0.362,0.445
2,2016,Switzerland,Western Europe,7.509,1.527,1.145,0.863,0.586,0.281,0.412
3,2016,Iceland,Western Europe,7.501,1.427,1.183,0.867,0.566,0.477,0.15
4,2016,Norway,Western Europe,7.498,1.577,1.127,0.796,0.596,0.379,0.358
5,2016,Finland,Western Europe,7.413,1.406,1.135,0.811,0.571,0.255,0.41
7,2016,Netherlands,Western Europe,7.339,1.465,1.029,0.812,0.552,0.474,0.299
10,2016,Sweden,Western Europe,7.291,1.452,1.088,0.831,0.582,0.383,0.409
12,2016,Austria,Western Europe,7.119,1.45,1.084,0.806,0.544,0.329,0.213
16,2016,Germany,Western Europe,6.994,1.448,1.098,0.815,0.535,0.305,0.286
18,2016,Belgium,Western Europe,6.929,1.425,1.052,0.82,0.514,0.242,0.262
19,2016,Ireland,Western Europe,6.907,1.483,1.162,0.815,0.54,0.45,0.298
20,2016,Luxembourg,Western Europe,6.871,1.698,1.04,0.845,0.549,0.276,0.353
23,2016,United Kingdom,Western Europe,6.725,1.403,1.087,0.81,0.5,0.502,0.274
30,2016,Malta,Western Europe,6.488,1.308,1.099,0.803,0.55,0.562,0.176
32,2016,France,Western Europe,6.478,1.395,1.005,0.838,0.466,0.122,0.178
37,2016,Spain,Western Europe,6.361,1.343,1.129,0.879,0.375,0.177,0.061
50,2016,Italy,Western Europe,5.977,1.355,1.042,0.851,0.188,0.167,0.026
62,2016,North Cyprus,Western Europe,5.771,1.311,0.818,0.841,0.436,0.263,0.166
69,2016,Cyprus,Western Europe,5.546,1.319,0.707,0.849,0.295,0.279,0.052
94,2016,Portugal,Western Europe,5.123,1.276,0.944,0.794,0.447,0.117,0.015
99,2016,Greece,Western Europe,5.033,1.249,0.755,0.8,0.058,0,0.041
1,2017,Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.362,0.316
2,2017,Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.355,0.401
3,2017,Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.476,0.154
4,2017,Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.62,0.291,0.367
5,2017,Finland,Western Europe,7.469,1.444,1.54,0.809,0.618,0.245,0.383
6,2017,Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.47,0.283
